Player Score: 9
Player score : 14
Player score : 45
Player score : 1
Player score : 0
Player score : 16
Player score : 0
Player score : 140
Player score : 9
Player score : 160
Player score : 72
Player score : 160
Player score : 0
Player score : 72
Player score : 18
Player score : 28
Player score : 0
Player score : 8
Player score : 16
Player score : 0
Player score : 18
Player score : 45
Player score : 27
Player score : 0
Player score : 9
Player score : 0
Player score : 0
Player score : 63
Player score : 27
Player score : 180
Player score : 180
Player score : 63
Player score : 180
Player score : 180
Player score : 180
Player score : 63
Player score : 96
Player score : 0
Player score : 9
Player score : 9
Player score : 180
Player score : 0
Player score : 36
Player score : 0
Player score : 0
Player score : 0
Player score : 0
Player score : 27
Player score : 180
Player score : 45
Player score : 91
Player score : 140
Player score : 7
Player score : 16
Player score : 64
Player score : 5
Player score : 0
